url|user|id|date|text|isReply
https://twitter.com/BlogdoAmorim/status/1242617273120182272|BlogdoAmorim|1242617273120182272|2020-03-25T01:00:19.000Z|I M P O R T A N T E !!! O PRONUNCIAMENTO DO PRESIDENTE JAIR BOLSONARO À NAÇÃO EM REDE NACIONAL DE RÁDIO E TELEVISÃO. Vídeo e meu comentário: -->> <LINK> <MEDIA>|False
https://twitter.com/nrlfilho/status/1017959322846887939|nrlfilho|1017959322846887939|2018-07-14T02:29:49.000Z|Sobre o fato do like de Eduardo Bolsonaro na foto de Lula ter virado notícia <MEDIA>|False
https://twitter.com/AmkProducer/status/1435357431538896907|AmkProducer|1435357431538896907|2021-09-07T21:40:53.000Z|Esse é o @ptbrasil de @dilmabr e @LulaOficial a única coisa que entenderam é desvio de verbas públicas 🤣 🤣 🤣 🤣 💩 💩 💩 <MEDIA>|False
https://twitter.com/allandosprantos/status/1415525499946868740|allandosprantos|1415525499946868740|2021-07-15T04:15:53.000Z|Moro traidor? Traidor é esse merda que riu da cara de todos os seus eleitores e conseguiu ir contra todas as suas promessas de campanha. Ainda apoiar Bolsonaro é igual a esposa que apanha do marido e continua com ele achando que vai mudar <MEDIA>|True
https://twitter.com/GAMEBrasilOfic1/status/1085714039710322689|GAMEBrasilOfic1|1085714039710322689|2019-01-17T01:42:53.000Z|eu sou o novo lula -roubei-quer disse limpei todos os ossos é musgos da caverna . <MEDIA>|False
https://twitter.com/in1shoot/status/1369057942092283905|in1shoot|1369057942092283905|2021-03-08T22:50:23.000Z|Lula pode até merecer? <MEDIA>|True
https://twitter.com/wessnake/status/1223015314318864391|wessnake|1223015314318864391|2020-01-30T22:49:08.000Z|meu Jesus amado a mulher entrou em contato cmg pra faze orçamento e eu conversando com ela tranquilamente só depois percebi que tava com essa foto do lula molusco no perfil quero morreKKAKAKKKKKK <MEDIA>|False
https://twitter.com/Denilcel/status/1398676013350064133|Denilcel|1398676013350064133|2021-05-29T16:22:02.000Z|A PICANHA 1800 CONTOS O KILO É DO BOLSONARO! <MEDIA>|True
https://twitter.com/TheInterceptBr/status/1427734075775852551|TheInterceptBr|1427734075775852551|2021-08-17T20:48:24.000Z|Nova visita de Eduardo Bolsonaro a Bannon escancarou: vai ter tumulto nas eleições de 2022 <LINK>|False
https://twitter.com/TommyBrain/status/1430056306870824972|TommyBrain|1430056306870824972|2021-08-24T06:36:07.000Z|GOVERNADORES JOGAM A TOALHA/DORIA COM MEDO DO 07/09/ LULA TOMA INVERTIDA - Os Pingos Nos Is 23/08/21" <LINK> <MEDIA>|False
