link|user|id|date|sentence|response|appreciative|expandedLabel
https://twitter.com/sacoporlamano/status/1320377865939058690|sacoporlamano|1320377865939058690|2020-10-25T14:53:09.000Z|Fake News... Por aqui o bolsonaro nao gamhava de ninguém... [MEDIA]|1|1|2
https://twitter.com/CaiaoBatista/status/1369056292128645125|CaiaoBatista|1369056292128645125|2021-03-08T22:43:50.000Z|E vamos de @LulaOficial em 2022. Sempre votei no senhor. Sempre acreditei no senhor. Hoje, o filho da secretaria e do aposentado é Dr, meu presidente. Graças ao seu incentivo ao níveis superior. MUITO OBRIGADO MEU PRESIDENTE. [MEDIA]|0|1|0
https://twitter.com/fernandapsol/status/1242623274535788555|fernandapsol|1242623274535788555|2020-03-25T01:24:10.000Z|FORA BOLSONARO JÁ! IMPEACHMENT URGENTE! [POLICE_CAR_LIGHT] 300 mil pessoas já assinaram a petição de apoio ao pedido de impeachment do genocida Bolsonaro. Ainda é pouco perto da raiva popular. Ajude a chegar em 1 milhão! Apoie e ajude a retuitar: [LINK] [MEDIA]|0|1|2
https://twitter.com/tudoleia/status/963080272605601792|tudoleia|963080272605601792|2018-02-12T16:00:04.000Z|Vídeo raro revela a relação promíscua de Lula com a Odebrecht/BRK. Vergonhoso! [LINK] [MEDIA]|0|1|0
https://twitter.com/JanayBand/status/1242619057226031106|JanayBand|1242619057226031106|2020-03-25T01:07:24.000Z|Fui caçar o vídeo do pronunciamento. Juro que nem consigo sentir raiva desse homem, só tenho vontade é de chorar. Bolsonaro vai contra TUDO, TUDO q os demais países e organizações mundiais tão falando. “Não ao confinamento “???? Tem problema mental!! [MEDIA]|0|1|2
https://twitter.com/ConversaAfiada/status/1237389875977916417|ConversaAfiada|1237389875977916417|2020-03-10T14:48:30.000Z|PSDB falava grosso com o PT e fala fino com Bolsonaro [LINK] [MEDIA]|0|0|3
https://twitter.com/vupdtoficialtt/status/1242621930596859905|vupdtoficialtt|1242621930596859905|2020-03-25T01:18:49.000Z|Por favor VAI SE FUDER BOLSONARO [MEDIA]|0|1|2
https://twitter.com/RomauroWolff/status/1267418889023037441|RomauroWolff|1267418889023037441|2020-06-01T11:33:05.000Z|Tribunal de Haia é pouco! #ForaBol卐onaro #ForaWeintraub @jairbolsonaro @STF_oficial @RodrigoMaia @rsallesmma @davialcolumbre @alexandre [MEDIA]|0|1|2
https://twitter.com/Brasil62696059/status/1342892339551989760|Brasil62696059|1342892339551989760|2020-12-26T17:57:38.000Z|Deixei de seguir uma conhecida no Instagram agora! Vi nos stories a cara do Bolsonaro... subiu um sangue... fui no direct e deixei uma mensagem e parei de seguir! Achei que ela era inteligente! Pior que tem mãe idosa! [MEDIA]|0|0|3
https://twitter.com/Neein_RIP/status/1242623487862362112|Neein_RIP|1242623487862362112|2020-03-25T01:25:00.000Z|#ForaBol卐onaro O Bolsonaro não consegue falar UMA verdade!? [MEDIA]|0|1|2
https://twitter.com/izadotae/status/1408646914682261504|izadotae|1408646914682261504|2021-06-26T04:42:50.000Z|Bolsominon só passa vergonha, jesus. Falam como se tivesse metade da população brasileira recebendo o Bolsonaro em Sorocaba [MEDIA]|0|0|3
https://twitter.com/sarataooliveira/status/1398672424753901570|sarataooliveira|1398672424753901570|2021-05-29T16:07:46.000Z|FORA BOLSONARO VIVA O SUS Comorbidade: GOSTOSA [MEDIA]|0|1|2
https://twitter.com/_Adriano_clr/status/925227503307943936|_Adriano_clr|925227503307943936|2017-10-31T05:06:41.000Z|Se a defesa do Lula, fala q N tem comprovantes Bancários, como eles entregam uma PROVA informando q o PAGAMENTO é agora em outro banco? [MEDIA]|1|0|1
https://twitter.com/JWellingtonMelo/status/926031073699647488|JWellingtonMelo|926031073699647488|2017-11-02T10:19:47.000Z|1º - INTERVENÇÃO MILITAR CONSTITUCIONAL. 2º - É MELHOR @jairbolsonaro SE ACOSTUMANDO ! [MEDIA]|0|0|3
https://twitter.com/Dramahoodon/status/1408646243480485890|Dramahoodon|1408646243480485890|2021-06-26T04:40:10.000Z|O impeachment do Bolsonaro veeeeeem aaaaaaaaaaaaa aAaaaaaaaaa [MEDIA]|1|1|2
https://twitter.com/gazeta_da/status/1255452140778242052|gazeta_da|1255452140778242052|2020-04-29T11:01:30.000Z|“E daí? Lamento, quer que eu faça o quê?”, diz Bolsonaro sobre recorde de mortos por coronavírus “Governar o país em vez de ficar tentando encobrir suas besteiras e dos filhos seria um bom começo”, recomendou analista político #gazetadaeternidade #humor #bolsonaro #coronavirus [MEDIA]|0|0|3
https://twitter.com/annasil24538637/status/1101672571844493312|annasil24538637|1101672571844493312|2019-03-02T02:36:23.000Z|SERÁ Q NINGUÉMZINHO CONSEGUIU TIRAR UMA FOTINHA DO MEU DO NOSSO ETERNO PRESIDENTE LULA? NÃO PARA IRONIZAR NOSSA DOR PELO BB QUE SE FOI,APENAS PARA VER UM POUQUINHO E MATAR UMA SAUDADE QUE DOIIIIIIII COM SUA AUSÊNCIA ! [MEDIA]|0|1|0
https://twitter.com/willow_digitall/status/1112508096436420608|willow_digitall|1112508096436420608|2019-04-01T00:12:54.000Z|Fazendo uma analogia, estou preso em um túnel do tempo. 1964 - 2019 Ann transferir, ano (2003–2011) governo Lula, tire dessa zona de tempo, irá sofrer... [MEDIA]|0|0|1
https://twitter.com/decows/status/1126257000831160326|decows|1126257000831160326|2019-05-08T22:46:08.000Z|Dilma só observando o (des)governo Bolsonaro... #Dracarys [MEDIA]|0|1|2
https://twitter.com/Joclau53/status/1402003090644127759|Joclau53|1402003090644127759|2021-06-07T20:42:39.000Z|@PedroCastilloTe @LulaOficial Hoje Castillo, em 2022 Lula. [MEDIA]|1|1|0
https://twitter.com/KAKUMEIAGUN/status/1369056409585848322|KAKUMEIAGUN|1369056409585848322|2021-03-08T22:44:18.000Z|Biografia do Moro agora vai alterar o final ? Como eu soltei lula deve ser o título , a verdade que a lava jato e lê estava protegido enquto estava de baixo das asas bolsonarista , lembro do maraca e o presidente levou ele quando a mídia vazava tudo , mas biografia .... [MEDIA]|1|0|1
https://twitter.com/mvpatrconserv/status/1369056662313656328|mvpatrconserv|1369056662313656328|2021-03-08T22:45:18.000Z|Ministro Edson Fachin, do STF, decidiu que os processos da lava jato, contra Lula, devem ser anulados! Assim o marginal, maior LADRÃO DA HISTÓRIA DO BRASIL, poderá se candidatar em 2022! #STFVergonhaMundial #ForaFachin [MEDIA]|0|1|0
https://twitter.com/mari_sdmt/status/1399404376549117957|mari_sdmt|1399404376549117957|2021-05-31T16:36:17.000Z|E FINALMENTE: VACINADA! 1 ano e 2 meses dentro de casa. Só consegui agradecer. (Agora: Fora bolsonaro) [MEDIA]|0|1|2
https://twitter.com/SPantanero/status/1425022049207062530|SPantanero|1425022049207062530|2021-08-10T09:11:46.000Z|NÃO VÁ DORMIR ANTES DE VER NOTA QUE BOLSONARO ACABOU DE EMITIR SOBRE TAN... [LINK] [MEDIA]|0|0|3
https://twitter.com/_ckael/status/1242617209358254080|_ckael|1242617209358254080|2020-03-25T01:00:04.000Z|Gente o Bolsonaro NÃO ESTÁ VENDO ISSO? ELE AINDA TRATA COMO GRIPIZINHA? VAI SE FUDER VELHO DO CARALHO, CORONA PEGA E MATA #ForaBol卐onaro #forabolsomaro [MEDIA]|0|1|2
https://twitter.com/leofavodemel/status/1354885873129697291|leofavodemel|1354885873129697291|2021-01-28T20:15:39.000Z|Já agradeceu a globo hoje pela alienação, @jairbolsonaro ? [MEDIA]|0|0|3
